OffspringID,Mother
U264,U110
U298,U110
U304,U110
U384,U110
U437,U110
U465,U110
U502,U110
U512,U110
U540,U110
U543,U110
U559,U110
U600,U110
U617,U110
U259,U113
U308,U113
U274,U120
U316,U120
U333,U120
U469,U120
U485,U120
U567,U120
U568,U120
U270,U122
U271,U122
U323,U122
U391,U122
U430,U122
U458,U122
U495,U122
U521,U122
U561,U122
U578,U122
U615,U122
U634,U122
U291,U124
U315,U124
U399,U124
U435,U124
U454,U124
U505,U124
U538,U124
U573,U124
U580,U124
U268,U126
U302,U126
U344,U126
U358,U126
U365,U126
U394,U126
U395,U126
U422,U126
U441,U126
U472,U126
U517,U126
U290,U134
U361,U134
U377,U134
U378,U134
U426,U134
U450,U134
U471,U134
U507,U134
U510,U134
U535,U134
U544,U134
U583,U134
U591,U134
U603,U134
U639,U134
U261,U165
U272,U165
U324,U165
U332,U165
U436,U165
U506,U165
U539,U165
U565,U165
U598,U165
U627,U165
U266,U166
U312,U166
U370,U166
U401,U166
U468,U166
U564,U166
U432,U166
U254,U173
U277,U173
U299,U173
U345,U173
U359,U173
U372,U173
U431,U173
U452,U173
U496,U173
U513,U173
U520,U173
U554,U173
U569,U173
U570,U173
U601,U173
U612,U173
U628,U173
U633,U173
U636,U173
U376,U173
U415,U173
U285,U179
U326,U179
U327,U179
U347,U179
U420,U179
U484,U179
U503,U179
U524,U179
U525,U179
U545,U179
U576,U179
U594,U179
U604,U179
U619,U179
U626,U179
U638,U179
U641,U179
U339,U184
U463,U184
U630,U184
U387,U184
U278,U19
U306,U19
U357,U19
U263,U208
U300,U208
U368,U208
U390,U208
U411,U208
U447,U208
U467,U208
U475,U208
U498,U208
U536,U208
U267,U211
U319,U211
U354,U211
U366,U211
U382,U211
U445,U211
U460,U211
U486,U211
U515,U211
U531,U211
U555,U211
U562,U211
U582,U211
U602,U211
U620,U211
U632,U211
U595,U211
U397,U214
U410,U214
U428,U214
U448,U214
U459,U214
U518,U214
U534,U214
U571,U214
U311,U228
U329,U228
U349,U228
U367,U228
U429,U228
U461,U228
U482,U228
U483,U228
U529,U228
U542,U228
U566,U228
U596,U228
U260,U24
U292,U24
U314,U24
U363,U24
U364,U24
U380,U24
U381,U24
U418,U24
U449,U24
U456,U24
U489,U24
U522,U24
U287,U242
U289,U29
U330,U242
U406,U242
U439,U242
U455,U242
U553,U242
U574,U242
U284,U26
U375,U26
U396,U26
U424,U26
U457,U26
U487,U26
U516,U26
U552,U26
U320,U26
U288,U242
U303,U29
U331,U29
U343,U29
U371,U29
U392,U29
U393,U29
U642,U29
U317,U30
U346,U30
U373,U30
U398,U30
U412,U30
U444,U30
U470,U30
U504,U30
U537,U30
U557,U30
U586,U30
U599,U30
U275,U35
U276,U35
U414,U35
U279,U52
U296,U52
U335,U52
U408,U52
U438,U52
U479,U52
U508,U52
U523,U52
U558,U52
U581,U52
U616,U52
U622,U52
U629,U52
U269,U56
U307,U56
U342,U56
U405,U56
U421,U56
U477,U56
U258,U6
U295,U6
U322,U6
U353,U6
U385,U6
U409,U6
U423,U6
U466,U6
U490,U6
U519,U6
U547,U6
U256,U64
U283,U64
U294,U64
U321,U64
U336,U64
U352,U64
U362,U64
U403,U64
U404,U64
U427,U64
U451,U64
U453,U64
U514,U64
U262,U68
U309,U68
U337,U68
U402,U68
U419,U68
U491,U68
U492,U68
U501,U68
U532,U68
U579,U68
U610,U68
U325,U69
U413,U69
U255,U69
U386,U69
U280,U72
U318,U72
U351,U72
U440,U72
U488,U72
U497,U72
U533,U72
U546,U72
U577,U72
U608,U72
U286,U74
U305,U74
U369,U74
U388,U74
U433,U74
U442,U74
U481,U74
U499,U74
U527,U74
U563,U74
U585,U74
U592,U74
U614,U74
U623,U74
U635,U74
U281,U90
U282,U90
U334,U90
U350,U90
U360,U90
U407,U90
U434,U90
U446,U90
U462,U90
U480,U90
U511,U90
U526,U90
U572,U90
U588,U90
U589,U90
U611,U90
U624,U90
U301,U90
U265,U91
U313,U91
U338,U91
U417,U91
U476,U91
U509,U91
U530,U91
U556,U91
U575,U91
U593,U91
U606,U91
U618,U91
U621,U91
U389,U91
U257,U93
U293,U93
U310,U93
U340,U93
U348,U93
U374,U93
U383,U93
U425,U93
U464,U93
U478,U93
U494,U93
U528,U93
U551,U93
U560,U93
U597,U93
U607,U93
U625,U93
U631,U93
U273,U94
U328,U94
U473,U94
U500,U94
U550,U94
U584,U94
U605,U94
U297,U98
U400,U98
U416,U98
U443,U98
U474,U98
U493,U98
U548,U98
U549,U98
U590,U98
U609,U98
U613,U98
U637,U98
U341,U98
U355,U98
