"","F","M","svl","hours","eggs"
"1","U110","U20",56.9774022311498,100,13
"2","U110","U21",49.4607087390086,42,13
"3","U110","U51",55.3409842755239,3,13
"4","U113","U104",58.840413339328,2,2
"5","U113","U155",49.8626240395593,3,2
"6","U113","U16",60.4961989389276,18,2
"7","U113","U188",56.62,4,2
"8","U113","U225",58.4830634223483,6,2
"9","U113","U252",58.85,3,2
"10","U113","U40",58.3950533485948,5,2
"11","U120","U146",54.2106607887697,3,7
"12","U120","U172",51.45,5,7
"13","U120","U181",53.1,1,7
"14","U120","U22",58.1965623402483,40,7
"15","U122","U174",56.0233742689011,24,12
"16","U122","U190",40.43,4,12
"17","U122","U61",46.7811900671904,5,12
"18","U124","U131",56.6293075480937,6,9
"19","U124","U202",53.9690210750813,6,9
"20","U124","U226",56.9619635255601,16,9
"21","U124","U36",55.8685673616135,222,9
"22","U124","U54",43.8913727215027,2,9
"23","U124","U58",60.5642982846665,4,9
"24","U124","U7",56.51,6,9
"25","U126","U107",44.1177453929021,41,11
"26","U126","U175",55.9548276692334,30,11
"27","U126","U18",46.9126117395597,11,11
"28","U126","U251",46.231591303612,13,11
"29","U126","U51",57.5155897284412,572,11
"30","U134","U10",56.6175179351661,15,15
"31","U134","U144",55.1175256753799,36,15
"32","U134","U155",46.8299531997638,10,15
"33","U134","U167",55.9649236586848,11,15
"34","U134","U176",62.1612590761103,38,15
"35","U134","U190",41.8254773986871,37,15
"36","U134","U206",52.82768206425,38,15
"37","U134","U60",53.077708928446,3,15
"38","U134","U77",58.2243444671989,13,15
"39","U165","U10",58.7618018846168,80,10
"40","U165","U132",57.7276491156419,22,10
"41","U165","U164",53.166055533533,23,10
"42","U165","U189",57.0597304016962,38,10
"43","U165","U213",52.8488566483565,48,10
"44","U165","U60",55.729414941864,65,10
"45","U165","U7",59.2048372785738,29,10
"46","U165","U75",50.9382666957768,4,10
"47","U166","U1",41.3798897452288,10,7
"48","U166","U106",51.5924859818266,68,7
"49","U166","U112",53.9538716829756,32,7
"50","U166","U183",55.2445851186229,16,7
"51","U166","U216",51.6396607346539,16,7
"52","U166","U225",59.0607756608195,33,7
"53","U166","U249",54.5,7,7
"54","U166","U42",52.6848543369438,13,7
"55","U173","U215",57.2515535331265,8,21
"56","U173","U92",57.4736142103277,31,21
"57","U179","U12",58.621906824898,82,17
"58","U179","U146",55.5618999366518,4,17
"59","U179","U206",50.2817077934444,37,17
"60","U179","U31",37.554181061618,54,17
"61","U179","U32",41.2186816081402,483,17
"62","U179","U50",45.5367828644778,173,17
"63","U179","U51",52.6522429766344,46,17
"64","U179","U63",51.9602436112222,107,17
"65","U179","U7",55.6219658499228,78,17
"66","U179","U77",57.7352185904042,16,17
"67","U184","U11",49.0740136365838,232,4
"68","U184","U145",55.7151081474988,237,4
"69","U19","U102",55.1690808460234,93,3
"70","U19","U146",56.1424681976906,2,3
"71","U19","U160",56.0214721774425,222,3
