L1,L2,D
30.58,39.07,35
39.07,42.51,19
55.52,57.38,34
46.5,50.04,23
50.04,51.44,30
52.28,57.25,24
49.41,58.62,55
43.39,51.27,27
51.27,54.98,26
38.21,43.91,27
39.13,47.25,34
47.25,50.48,30
51.16,56.08,34
56.08,59.88,31
38.34,40.96,15
55.1,61.96,57
54.41,58.28,51
56.46,57.72,31
57.72,58.67,20
43.61,54.36,52
54.36,57.72,15
53.18,56.41,47
51.86,55.91,39
55.91,56.89,17
49.56,54.76,40
42.74,50.34,42
48.72,54.61,34
51.04,57.08,33
57.08,58.09,17
45.57,51.39,48
61.03,61.48,37
51.08,56.26,48
47.65,52.98,31
55.33,57.56,31
42.15,42.91,2
42.91,44.81,12
43.7,55.83,66
55.19,57.14,21
55.13,56.62,20
53.73,56.64,19
48.38,52.07,21
52.07,54.18,9
47.37,49.03,14
51.67,56.1,37
49.44,54.51,30
40.44,45.35,21
51.66,54.69,22
51.26,57.89,33
57.89,60.19,31
60.19,60.77,16
54.7,57.94,21
47.66,50.44,13
55.57,57.55,30
57.55,58.95,30
53.83,57.4,36
37.45,43.98,31
43.98,51.07,30
40.47,50.22,30
52.19,56.83,34
53.82,57.38,30
44.7,53.57,38
42.61,48.91,21
42.36,57.21,66
50.31,58.15,42
39.6,47.61,29
52.27,59.77,62
44.38,53.61,30
53.61,54.32,6
50.67,55.4,37
55.4,57.72,23
57.72,59.31,15
56.27,62.44,62
62.44,63.38,13
47.12,54.98,38
51.48,53.06,12
53.06,57.1,50
53.46,56.35,59
53.97,55.6,18
55.6,56.51,22
40.71,41.98,7
41.98,47.53,27
47.53,55.96,39
42.07,53.32,44
51.95,56.84,40
62.11,64.09,28
64.09,63.43,24
50.92,55.72,35
55.72,59.05,30
59.05,59.57,17
39.24,43.21,22
49.72,58.46,70
46.64,54.63,32
42.54,50.16,58
37.93,43.48,67
