ID,Female,Father,LOD,Assignment,Agrees
U264,U110,U20,9.13,95,yes
U298,U110,U20,9.32,95,yes
U304,U110,U20,7.67,95,yes
U384,U110,U20,9.85,95,yes
U465,U110,U20,9.85,95,yes
U502,U110,U20,9.31,95,yes
U512,U110,U20,9.14,95,yes
U540,U110,U20,8.41,95,yes
U543,U110,U20,8.93,95,yes
U559,U110,U20,8.72,95,yes
U600,U110,U20,8.01,95,yes
U617,U110,U20,8.16,95,yes
U259,U113,U104,8.13,95,yes
U567,U120,U22,5.46,95,yes
U270,U122,U174,5.96,95,yes
U495,U122,U174,5.89,95,yes
U561,U122,U174,5.89,95,yes
U365,U126,U51,4.88,95,yes
U394,U126,U51,4.65,95,yes
U517,U126,U51,4.64,95,yes
U361,U134,U176,9.03,95,yes
U426,U134,U144,6.7,95,yes
U450,U134,U176,8.76,95,yes
U510,U134,U176,9.5,95,yes
U535,U134,U176,9.28,95,yes
U639,U134,U144,7.79,95,yes
U261,U165,U189,5.45,95,yes
U272,U165,U132,7.07,95,yes
U506,U165,U132,8.2,95,yes
U539,U165,U132,7.44,95,yes
U565,U165,U7,7.87,95,yes
U627,U165,U132,7.43,95,yes
U266,U166,U216,5.57,95,yes
U312,U166,U225,5.51,95,yes
U401,U166,U225,8.21,95,yes
U564,U166,U225,6.18,95,yes
U415,U173,U215,4.53,95,yes
U420,U179,U12,4.44,95,yes
U524,U179,U12,7.54,95,yes
U525,U179,U12,5.36,95,yes
U604,U179,U12,6.65,95,yes
U619,U179,U51,6.14,95,yes
U626,U179,U51,6.3,95,yes
U339,U184,U145,8.72,95,yes
U463,U184,U145,6.41,95,yes
U357,U19,U160,4.71,95,yes
U263,U208,U28,5.16,95,yes
U368,U208,U28,5.81,95,yes
U498,U208,U28,5.18,95,yes
U267,U211,U8,6.09,95,yes
U366,U211,U8,5.67,95,yes
U382,U211,U8,5.83,95,yes
U445,U211,U8,5.81,95,yes
U460,U211,U8,5.83,95,yes
U486,U211,U8,5.42,95,yes
U531,U211,U8,6.06,95,yes
U562,U211,U8,5.83,95,yes
U620,U211,U8,5.65,95,yes
U410,U214,U48,7.61,95,yes
U518,U214,U48,5.5,95,yes
U529,U228,U213,6.52,95,yes
U596,U228,U27,4.84,95,yes
U260,U24,U54,4.77,95,yes
U363,U24,U48,6.3,95,yes
U418,U24,U48,6.3,95,yes
U456,U24,U48,4.85,95,yes
U330,U242,U192,5.28,95,yes
U439,U242,U22,5.59,95,yes
U574,U242,U22,5.46,95,yes
U284,U26,U12,4.71,95,yes
U375,U26,U12,4.71,95,yes
U396,U26,U12,7.01,95,yes
U424,U26,U77,4.53,95,yes
U516,U26,U12,6.91,95,yes
U552,U26,U12,4.99,95,yes
U331,U29,U28,4.7,95,yes
U392,U29,U28,7.13,95,yes
U393,U29,U28,6.84,95,yes
U642,U29,U28,6.86,95,yes
U317,U30,U62,8.91,95,yes
U373,U30,U145,6.89,95,yes
U398,U30,U145,5.8,95,yes
U412,U30,U145,5.77,95,yes
U444,U30,U145,5.8,95,yes
U470,U30,U145,6.3,95,yes
U504,U30,U145,4.69,95,yes
U537,U30,U145,7.1,95,yes
U557,U30,U145,5.82,95,yes
U586,U30,U145,8.09,95,yes
U599,U30,U145,8.11,95,yes
U279,U52,U11,5.58,95,yes
U335,U52,U222,7.58,95,yes
U479,U52,U222,5.21,95,yes
U508,U52,U222,7.26,95,yes
U523,U52,U222,5.86,95,yes
U558,U52,U222,5.76,95,yes
U581,U52,U222,4.94,95,yes
U629,U52,U11,5.73,95,yes
U342,U56,U8,6.09,95,yes
U405,U56,U8,5.06,95,yes
U421,U56,U8,4.85,95,yes
U385,U6,U189,6.08,95,yes
U466,U6,U189,4.94,95,yes
U547,U6,U213,5.66,95,yes
U256,U64,U132,9.2,95,yes
U283,U64,U132,7.86,95,yes
U294,U64,U132,8.38,95,yes
U321,U64,U41,5.25,95,yes
U336,U64,U41,5.3,95,yes
U362,U64,U41,5,95,yes
U403,U64,U132,9.07,95,yes
U404,U64,U220,7.55,95,yes
U427,U64,U132,8.37,95,yes
U451,U64,U41,5.3,95,yes
U453,U64,U132,8.51,95,yes
U337,U68,U51,5.4,95,yes
U491,U68,U51,4.67,95,yes
U492,U68,U51,5.44,95,yes
U386,U69,U12,6.84,95,yes
U413,U69,U12,4.66,95,yes
U351,U72,U132,7.36,95,yes
U488,U72,U189,4.67,95,yes
U546,U72,U189,5.54,95,yes
U608,U72,U189,4.61,95,yes
U388,U74,U192,5.61,95,yes
U614,U74,U192,4.55,95,yes
U623,U74,U192,5.83,95,yes
U282,U90,U215,4.86,95,yes
U301,U90,U215,5.42,95,yes
U334,U90,U215,6.86,95,yes
U350,U90,U215,4.72,95,yes
U462,U90,U215,5.5,95,yes
U511,U90,U215,6.8,95,yes
U588,U90,U215,8.37,95,yes
U313,U91,U220,6.94,95,yes
U530,U91,U220,7.38,95,yes
U556,U91,U220,9.42,95,yes
U606,U91,U220,6.02,95,yes
U618,U91,U153,6.24,95,yes
U621,U91,U220,6.18,95,yes
U293,U93,U213,7.36,95,yes
U340,U93,U213,5.57,95,yes
U597,U93,U213,7.21,95,yes
U273,U94,U240,5.56,95,yes
U473,U94,U240,9.11,95,yes
U500,U94,U240,6.02,95,yes
U550,U94,U240,8.39,95,yes
U605,U94,U240,7.66,95,yes
U400,U98,U28,6.33,95,yes
U416,U98,U76,6.41,95,yes
U443,U98,U28,5.49,95,yes
U474,U98,U240,9.11,95,yes
U493,U98,U28,5.8,95,yes
U548,U98,U240,9.13,95,yes
U549,U98,U28,5.45,95,yes
U590,U98,U240,9.25,95,yes
U609,U98,U240,9.28,95,yes
U613,U98,U240,8.6,95,yes
U288,U242,U192,7.4,95,yes
U332,U165,U189,4.37,95,yes
U594,U179,U51,4.2,95,yes
U278,U19,U95,5.74,95,yes
U467,U208,U28,4.3,95,yes
U536,U208,U28,5.04,95,yes
U448,U214,U48,5.44,95,yes
U303,U29,U28,4.33,95,yes
U371,U29,U28,4.13,95,yes
U346,U30,U145,4.2,95,yes
U438,U52,U222,4.11,95,yes
U269,U56,U8,4.85,95,yes
U309,U68,U51,4.34,95,yes
U402,U68,U51,4.35,95,yes
U577,U72,U189,4.39,95,yes
U286,U74,U222,4.17,95,yes
U369,U74,U192,4.24,95,yes
U433,U74,U192,4.17,95,yes
U575,U91,U41,4.37,95,yes
U637,U98,U28,4.19,95,yes
U387,U184,U145,4.46,95,maybe
U576,U179,U51,4.73,95,maybe
U285,U179,U51,4.86,95,maybe
U545,U179,U51,5.3,95,maybe
U308,U113,U16,6.36,95,maybe
U423,U6,U189,4.39,95,maybe
U509,U91,U152,5.05,95,maybe
U296,U52,U192,4.49,95,maybe
U475,U208,U28,4.16,95,maybe
U307,U56,U8,5.42,95,maybe
U515,U211,U8,5.39,95,maybe
U534,U214,U48,4.86,95,maybe
U554,U173,U92,4.68,95,maybe
U277,U173,U92,4.69,95,maybe
U377,U134,U206,4.64,95,maybe
U333,U120,U22,4.3,95,maybe
U522,U24,U54,4.62,95,maybe
U526,U90,U215,4.37,95,maybe
U347,U179,U51,4.83,95,no
U274,U120,U22,2.57,80,yes
U316,U120,U22,4,80,yes
U469,U120,U22,3.49,80,yes
U485,U120,U22,3.79,80,yes
U568,U120,U22,3.79,80,yes
U391,U122,U174,3.1,80,yes
U430,U122,U174,3.37,80,yes
U458,U122,U174,3.29,80,yes
U521,U122,U174,3.36,80,yes
U578,U122,U174,2.83,80,yes
U615,U122,U174,3.11,80,yes
U291,U124,U36,1.33,80,yes
U435,U124,U36,0.16,80,yes
U538,U124,U36,0.18,80,yes
U573,U124,U36,2.34,80,yes
U268,U126,U51,3.98,80,yes
U302,U126,U51,2.99,80,yes
U344,U126,U51,3,80,yes
U358,U126,U51,3.75,80,yes
U395,U126,U51,3.68,80,yes
U422,U126,U51,3.2,80,yes
U441,U126,U51,2.67,80,yes
U472,U126,U51,3.53,80,yes
U290,U134,U167,3.35,80,yes
U507,U134,U77,1.38,80,yes
U544,U134,U77,1.78,80,yes
U324,U165,U189,3.05,80,yes
U598,U165,U75,1.18,80,yes
U432,U166,U216,2.52,80,yes
U345,U173,U92,2.13,80,yes
U359,U173,U215,1.02,80,yes
U372,U173,U215,3.26,80,yes
U376,U173,U92,0.36,80,yes
U452,U173,U92,2.95,80,yes
U513,U173,U92,0.36,80,yes
U601,U173,U215,3.15,80,yes
U628,U173,U92,0.75,80,yes
U326,U179,U51,1.38,80,yes
U327,U179,U51,3.75,80,yes
U484,U179,U32,3.95,80,yes
U503,U179,U51,3.24,80,yes
U638,U179,U51,4.04,80,yes
U641,U179,U51,3.74,80,yes
U306,U19,U146,3.47,80,yes
U300,U208,U28,3.55,80,yes
U390,U208,U119,3.3,80,yes
U411,U208,U28,3.29,80,yes
U447,U208,U28,3.29,80,yes
U354,U211,U8,3.15,80,yes
U555,U211,U8,3.41,80,yes
U595,U211,U8,3.41,80,yes
U602,U211,U8,-0.37,80,yes
U397,U214,U48,3.93,80,yes
U428,U214,U48,2.07,80,yes
U459,U214,U48,-0.16,80,yes
U349,U228,U27,2.67,80,yes
U292,U24,U48,2.16,80,yes
U380,U24,U48,2.17,80,yes
U381,U24,U48,2.58,80,yes
U449,U24,U48,2.58,80,yes
U489,U24,U48,2.32,80,yes
U287,U242,U22,0.75,80,yes
U406,U242,U22,0.75,80,yes
U320,U26,U119,3.65,80,yes
U457,U26,U12,3.48,80,yes
U487,U26,U12,3.32,80,yes
U275,U35,U92,2.83,80,yes
U276,U35,U92,3.79,80,yes
U414,U35,U92,3.68,80,yes
U622,U52,U222,1.51,80,yes
U477,U56,U8,4.07,80,yes
U352,U64,U41,3.59,80,yes
U514,U64,U202,1.87,80,yes
U262,U68,U51,1.29,80,yes
U419,U68,U51,2.38,80,yes
U501,U68,U51,0.61,80,yes
U532,U68,U51,0.52,80,yes
U579,U68,U51,2.38,80,yes
U610,U68,U51,1.73,80,yes
U325,U69,U77,2.38,80,yes
U280,U72,U75,2.94,80,yes
U318,U72,U75,2.94,80,yes
U440,U72,U189,3.4,80,yes
U442,U74,U92,1.95,80,yes
U499,U74,U92,3.65,80,yes
U527,U74,U192,3.77,80,yes
U592,U74,U192,0.91,80,yes
U635,U74,U192,1.51,80,yes
U572,U90,U215,3.41,80,yes
U265,U91,U41,2.19,80,yes
U389,U91,U153,-0.06,80,yes
U476,U91,U41,2.34,80,yes
U593,U91,U153,3.45,80,yes
U257,U93,U27,2.42,80,yes
U374,U93,U27,2.85,80,yes
U383,U93,U27,1.99,80,yes
U425,U93,U27,2.86,80,yes
U464,U93,U27,2.13,80,yes
U478,U93,U27,2.85,80,yes
U528,U93,U27,2.13,80,yes
U560,U93,U27,2.86,80,yes
U607,U93,U27,2.85,80,yes
U625,U93,U27,1.54,80,yes
U328,U94,U240,0.75,80,yes
U584,U94,U240,0.64,80,yes
U297,U98,U240,1.87,80,yes
U553,U242,U22,3.99,80,maybe
U505,U124,U36,3.71,80,maybe
U323,U122,U174,3.63,80,maybe
U563,U74,U192,3.48,80,no
U364,U24,U48,3.88,80,no
U480,U90,U146,3.44,80,no
U343,U29,U28,3.83,80,no
U634,U122,U174,3.36,80,no
U632,U211,U8,3.15,80,no
U468,U166,U225,3.91,80,no
U481,U74,U192,3.25,80,no
U497,U72,U189,2.12,80,no
U408,U52,U11,2.04,80,no
U436,U165,U189,2.82,80,no
U611,U90,U146,-0.08,80,no
U417,U91,U100,-0.2,80,no
U355,U98,U107,-0.42,80,no
U281,U90,U62,2.37,80,no
U353,U6,LU199,0.64,80,no
U322,U6,LU199,0.49,80,no
