Index,Location,X,Y
1,T25,979.129,39.899
2,T26,978.287,41.485
3,U11c,989.834,38.543
4,U145b,985.222,39.594
5,U236b,981.127,37.509
6,U30a,987.589,37.927
7,U3a,990.468,50.819
8,U62b,982.855,41.26
9,U90a,981.8,47.113
10,U90b,980.027,47.98
11,U90c,983.801,48.234
12,U90d,982.178,48.941
13,X12,975.911,50.173
14,T3,997.939,42.199
15,T4,1002.427,47.985
16,T5,1002.346,50.057
17,U11a,992.079,39.16
18,U11b,999.216,36.883
19,U3b,995.917,50.762
20,U164b,1016.402,48.952
21,U213c,1016.335,50.381
22,U217c,1019.329,50.91
23,X5,1018.577,51.323
24,U10a,1015.728,66.665
25,U10f,1016.246,64.781
26,U10b,1016.763,62.898
27,U122b,1023.602,56.795
28,U122c,1024.72,58.035
29,U122a,1021.486,56.874
30,U122d,1019.737,57.216
31,U122e,1022.544,56.834
32,U134b,1024.744,61.065
33,U151b,1024.447,59.619
34,U13a,1023.69,73.704
35,U15b,1020.989,69.613
36,U162a,1018.359,68.139
37,U162b,1029.657,67.883
38,U174b,1019.806,52.224
39,U206b,1016.825,59.678
40,U217b,1021.055,52.264
41,U221a,1021.271,54.569
42,U224b,1031.883,73.178
43,U61a,1021.369,63.154
44,U6b,1019.815,64.292
45,U6c,1018.289,63.595
46,U70a,1026.717,65.152
47,U70b,1025.157,62.067
48,U70c,1025.775,63.006
49,U10c,1013.539,59.312
50,U10d,1010.697,63.056
51,U10e,1013.787,55.001
52,T37,994.576,58.733
53,U132a,992.894,59.052
54,U133a,1003.641,66.171
55,U182a,992.597,54.179
56,U213b,1012.337,56.701
57,U3c,999.897,67.924
58,U43c,991.841,58.363
59,U45b,1009.508,67.941
60,U4a,1010.572,74.075
61,U4b,1005.929,72.958
62,U50b,1015.46,75.463
63,U5a,997.266,60.254
64,U5b,994.728,57.54
65,U5c,995.814,68.994
66,U3d,994.094,71.021
67,U73a,997.533,66.967
68,U84b,1002.152,70.572
69,U87a,1002.261,68.88
70,T23,974.68,54.608
71,T24,971.794,52.367
72,T36,991.038,63.051
73,U117a,985.002,63.152
74,U228b,982.877,62.605
75,U22a,974.191,62.629
76,U22b,969.663,63.671
77,U22c,981.143,63.017
78,U22d,976.73,67.487
79,U22e,973.708,64.252
80,U22f,969.812,59.748
81,U27a,973.226,65.874
82,U27b,980.753,62.057
83,U35a,978.657,55.779
84,U35b,978.991,52.58
85,U43a,986.341,73.615
86,U44b,980.528,70.223
87,U74b,981.07,54.684
88,U74c,981.695,53.712
89,U74d,986.298,51.801
90,U74e,986.4,52.791
91,U74f,988.485,52.3
92,U82a,986.338,67.821
93,U92b,983.149,57.999
94,U92c,986.502,53.781
95,X2,976.989,63.965
96,T27,961.887,65.96
97,T28,963.358,72.633
98,U106d,954.112,102.562
99,U123b,967.184,102.461
100,U152b,967.457,93.773
101,U153b,965.121,92.471
102,U153c,963.421,91.675
103,U153e,965.739,98.073
