"","numf","numm"
"1",2.66666666666667,3.2
"2",3.42857142857143,4.8
"3",1.45454545454545,8
"4",1.83333333333333,8.25
"5",1.9,4.75
"6",1.07142857142857,7.5
"7",1.66666666666667,6.66666666666667
"8",5.94117647058824,12.625
"9",3.25,3.71428571428571
"10",4.5625,12.1666666666667
"11",3.4,4.85714285714286
"12",1.33333333333333,2.66666666666667
"13",3.28571428571429,5.75
"14",1.72727272727273,4.75
"15",1,1
"16",1,1
"17",3.42857142857143,3.42857142857143
"18",6.05882352941176,12.875
"19",1.28571428571429,3
"20",2,1
"21",1,8
"22",3.69230769230769,6.85714285714286
"23",2.18181818181818,4.8
"24",2.5,8
"25",1.5,3
"26",1.375,5.5
"27",1.45454545454545,5.33333333333333
"28",2.08333333333333,5
"29",1.33333333333333,1.33333333333333
"30",2.6,6.5
"31",6,10.8
"32",3.90909090909091,6.14285714285714
"33",2.42857142857143,5.66666666666667
"34",1,1
"35",1.375,5.5
"36",1,1
"37",1.76923076923077,7.66666666666667
"38",1.55555555555556,7
"39",3.92857142857143,13.75
"40",1.5,1
"41",4.76190476190476,12.5
"42",1.58333333333333,9.5
"43",3.42857142857143,4.8
"44",2,1
"45",2.33333333333333,2.33333333333333
"46",1.61111111111111,5.8
"47",1.5,4.5
"48",2.33333333333333,5.25
"49",4.8125,8.55555555555556
"50",1.125,3
"51",1.16666666666667,3.5
"52",1.36363636363636,7.5
"53",1.25,2.5
"54",1.33333333333333,1.33333333333333
"55",2.11111111111111,3.16666666666667
"56",6.16666666666667,10.0909090909091
"57",2.42857142857143,2.83333333333333
"58",1.18181818181818,6.5
"59",4.22222222222222,4.75
"60",1.8,3.6
"61",1.28571428571429,3
"62",1.5,3
"63",1.8,3.6
"64",1.88888888888889,5.66666666666667
"65",1,9
"66",0,0
"67",3.14285714285714,3.14285714285714
"68",3.58333333333333,5.375
"69",1.57142857142857,3.66666666666667
"70",4.08333333333333,7
"71",2,9
"72",1.25,6.66666666666667
"73",2.72727272727273,5
"74",1,1
"75",3.05882352941176,7.42857142857143
"76",3.28571428571429,3.83333333333333
"77",3.33333333333333,2.85714285714286
"78",1,6
"79",4.22222222222222,6.33333333333333
"80",1.4,7
"81",3.25,2.16666666666667
"82",0,0
"83",1,1
"84",3.28571428571429,3.83333333333333
"85",5.72222222222222,11.4444444444444
"86",1.36363636363636,7.5
"87",3.69230769230769,6.85714285714286
"88",2,4
"89",2.5625,4.55555555555556
"90",1.84615384615385,6
"91",1,1
"92",5.77777777777778,13
"93",3.66666666666667,8.25
"94",2.125,4.25
"95",2,1
"96",3.16666666666667,6.33333333333333
"97",3.72727272727273,6.83333333333333
"98",2,1
"99",2.42857142857143,3.4
"100",4,3.2
"101",3.15384615384615,8.2
"102",1.4,2.33333333333333
"103",1.55555555555556,3.5
"104",1,1
"105",1.5,3
