SerialNumber,Day,ID,Sex,SVL
1,1,U1,M,30.58
22,36,U1,M,39.07
42,55,U1,M,42.51
10,1,U10,M,55.52
14,35,U10,M,57.38
100,12,U100,M,46.5
11,35,U100,M,50.04
49,65,U100,M,51.44
101,12,U101,M,39.17
102,12,U102,M,52.28
20,36,U102,M,57.25
104,12,U104,M,49.41
66,67,U104,M,58.62
105,12,U105,M,54.49
106,12,U106,M,43.39
26,39,U106,M,51.27
54,65,U106,M,54.98
107,12,U107,M,38.21
28,39,U107,M,43.91
108,12,U108,M,57.4
11,1,U11,M,39.13
9,35,U11,M,47.25
48,65,U11,M,50.48
112,12,U112,M,47.76
117,13,U117,M,38.9
119,13,U119,M,47.77
12,1,U12,M,51.16
13,35,U12,M,56.08
61,66,U12,M,59.88
121,14,U121,M,38.34
6,29,U121,M,40.96
123,14,U123,M,55.1
76,71,U123,M,61.96
125,14,U125,M,34.32
127,14,U127,M,32.62
128,14,U128,M,54.41
46,65,U128,M,58.28
13,1,U13,M,47.53
130,15,U130,M,37.66
131,15,U131,M,56.46
38,46,U131,M,57.72
60,66,U131,M,58.67
132,15,U132,M,43.61
65,67,U132,M,54.36
128,82,U132,M,57.72
133,15,U133,M,36.9
138,19,U138,M,51.46
14,2,U14,M,47.93
140,22,U140,M,48.62
141,22,U141,M,34.8
143,23,U143,M,37.39
144,23,U144,M,53.18
75,70,U144,M,56.41
145,26,U145,M,51.86
45,65,U145,M,55.91
126,82,U145,M,56.89
146,27,U146,M,49.56
64,67,U146,M,54.76
147,27,U147,M,53.52
151,30,U151,M,42.74
79,72,U151,M,50.34
152,30,U152,M,53.73
153,31,U153,M,48.72
51,65,U153,M,54.61
154,31,U154,M,38.79
155,31,U155,M,46.87
156,31,U156,M,40.47
159,32,U159,M,36.47
16,2,U16,M,53.72
160,32,U160,M,51.04
50,65,U160,M,57.08
129,82,U160,M,58.09
161,32,U161,M,45.57
83,80,U161,M,51.39
162,32,U162,M,51.88
163,32,U163,M,61.03
71,69,U163,M,61.48
164,32,U164,M,51.08
84,80,U164,M,56.26
167,33,U167,M,53.08
168,34,U168,M,61.77
169,34,U169,M,47.65
53,65,U169,M,52.98
17,2,U17,M,37.74
170,34,U170,M,55.53
171,34,U171,M,38.9
172,35,U172,M,51.45
174,35,U174,M,55.33
58,66,U174,M,57.56
175,36,U175,M,50.52
176,37,U176,M,62.01
178,37,U178,M,42.15
27,39,U178,M,42.91
40,51,U178,M,44.81
21,2,U18,M,43.7
68,68,U18,M,55.83
180,39,U180,M,55.19
43,60,U180,M,57.14
181,39,U181,M,53.1
182,39,U182,M,49.64
183,40,U183,M,55.23
187,46,U187,M,49.57
188,46,U188,M,55.13
57,66,U188,M,56.62
189,46,U189,M,53.73
47,65,U189,M,56.64
190,46,U190,M,40.43
191,47,U191,M,53.59
192,47,U192,M,54.22
193,47,U193,M,48.54
195,47,U195,M,48.38
69,68,U195,M,52.07
82,77,U195,M,54.18
197,48,U197,M,57.51
199,49,LU199,M,47.37
67,63,LU199,M,49.03
2,1,U2,M,44.59
19,2,U20,M,51.67
29,39,U20,M,56.1
201,51,U201,M,49.95
202,51,U202,M,50.4
203,51,U203,M,55.28
205,52,U205,M,41.15
206,52,U206,M,49.44
131,82,U206,M,54.51
207,52,U207,M,43.73
