"","numf","numm"
"1",2,1.5
"2",1.75,1.75
"3",1,3
"4",1,2.5
"5",1.33333333333333,1.33333333333333
"6",1,5
"7",1,2
"8",3.2,8
"9",1.5,1.5
"10",2.375,6.33333333333333
"11",3,1.5
"12",1,2
"13",1.71428571428571,2.4
"14",1.5,1.5
"15",0,0
"16",0,0
"17",3,1
"18",2.88888888888889,6.5
"19",1,1
"20",0,0
"21",1,1
"22",3.28571428571429,3.28571428571429
"23",1,1.5
"24",1.55555555555556,3.5
"25",0,0
"26",1.33333333333333,2
"27",1,1.5
"28",1,4
"29",1,1
"30",1.88888888888889,2.42857142857143
"31",3.77777777777778,8.5
"32",3.28571428571429,3.83333333333333
"33",1.5,2.25
"34",0,0
"35",1,1
"36",0,0
"37",1.8,3
"38",1.66666666666667,2.5
"39",4,8
"40",1,1
"41",2.91666666666667,7
"42",1,3
"43",2.75,2.75
"44",1,1
"45",1,3
"46",1.4,3.5
"47",2,2
"48",1,3
"49",2.5,6.66666666666667
"50",1,2.5
"51",1,4
"52",1,1
"53",1,2
"54",1.5,1.5
"55",1.5,1.5
"56",3.5,5.83333333333333
"57",1,1
"58",1,2
"59",2.2,2.75
"60",1,1
"61",0,0
"62",0,0
"63",1,1
"64",1.25,2.5
"65",1,3
"66",0,0
"67",2.75,2.75
"68",2.25,2.25
"69",1,2
"70",1.25,1.66666666666667
"71",1,7
"72",1.25,3.33333333333333
"73",2,3.5
"74",0,0
"75",1.71428571428571,4
"76",2.33333333333333,2.33333333333333
"77",2.75,2.75
"78",0,0
"79",2.5,2.5
"80",1.33333333333333,2
"81",2,1.33333333333333
"82",0,0
"83",1,1
"84",2,1.5
"85",4.1,8.2
"86",1,1.5
"87",3.28571428571429,3.28571428571429
"88",1.2,3
"89",2,2.8
"90",1,2.5
"91",0,0
"92",3,6
"93",2,7
"94",0,0
"95",0,0
"96",2.42857142857143,4.25
"97",1.25,2.5
"98",0,0
"99",2.8,3.5
"100",1.5,1.5
"101",1.66666666666667,2.5
"102",1,3
"103",1,3
"104",1,1
"105",1,2
"106",2.25,3
"107",1.75,2.33333333333333
"108",1.33333333333333,2
"109",1.66666666666667,2.5
"110",1.2,3
"111",3,1
"112",1.14285714285714,2.66666666666667
"113",1.5,1.5
"114",2.5,2.5
"115",2.83333333333333,4.25
"116",1,2
"117",1.5,1.5
"118",1,1
"119",2.66666666666667,2.66666666666667
"120",1,4
"121",1.66666666666667,2.5
"122",1,1
"123",2.42857142857143,2.83333333333333
"124",0,0
"125",1,3
"126",0,0
"127",2.25,3
"128",1.66666666666667,2.5
"129",2.25,3
"130",1,1
"131",1.33333333333333,2
"132",1,1.5
"133",0,0
"134",1,2
"135",2.57142857142857,3.6
"136",1.2,3
"137",1.5,1.5
"138",1,2
"139",1.375,3.66666666666667
"140",1,1.5
"141",3,3.75
"142",2.25,2.25
"143",0,0
"144",1.5,1.5
"145",3.4,6.8
"146",1,3
"147",1.33333333333333,2
"148",1.6,2.66666666666667
"149",2,1.33333333333333
"150",1.5,1.5
"151",1,1
"152",1.5,1.5
"153",1,1
"154",1,3
